destination|lat|long
Antikyra|38.3833|22.6333
Er�tria|38.4|23.8
Leros|37.1833|26.8
Molyvos|39.3667|26.15
Platygiali Etoloakarnanias|38.4667|21.1
Sikinos|36.7|25.1167
Thymaina Island|37.5833|26.45
L�vingston|15.8333|-88.75
Heard Island|-53.0833|73.7167
Klimno|45.15|14.6333
Rijeka|45.3333|14.4
Badacsony�rs|46.8|17.5333
Duna�jv�ros|46.9667|18.9333
Belitung|-2.83333|107.917
Kolaka|-4.05|121.567
Pagerungan|-6.91667|115.917
Sekupang|1.13333|103.933
Tual|-5.63333|132.733
Dublin-Dublin Ferryport Terminals|53.3167|-6.23333
Rathdrum|52.9167|-6.23333
Magshimim|32.0333|34.9
Dighi (Pune)|18.25|72.9667
Erode|11.35|77.7333
Greater Nodia|28.8167|77.8833
Hazira Port/Surat|21.0833|72.6167
Pipavav (Victor) Port|20.9667|71.55
Tuticorin|8.78333|78.1333
Mosul (Ak Mawsil)|36.1667|42.5833
Amir Abad Pt|36.0833|52.3667
Avola|36.9|15.1333
Bisceglie|41.2333|16.5
Bosa|40.3|8.5
Calasetta|39.05|8.36667
Camogli|44.35|9.15
Fiumicino|41.7667|12.2333
Gaeta|41.2|13.5833
Ladispoli|41.9333|12.0833
Lipari|38.45|14.95
Melito di Porto Salvo|37.9167|15.7833
Senigallia|43.7167|13.2167
Akitafunagawa|39.8833|139.95
Shimada|34.8333|138.183
Yawata/Kitakyushu|33.85|130.8
Yochon|36.65|128.45
Colombo|6.91667|79.85
Az Zawiyah|32.75|12.7167
Majuro|7.1|171.383
Agua Prieta|31.3|-109.567
Dolores Hidalgo|21.15|-100.917
Puerto Vallarta|20.6|-105.217
Ima|4.21667|7.38333
Belfeld|51.3167|6.11667
Dieverbrug|52.85|6.33333
Empel|51.7333|5.33333
Goudriaan|51.9|4.9
Hengstdijk|51.35|4
Holsloot|52.7167|6.8
Kreil|52.8|4.86667
Langeweg|51.65|4.66667
Nieuwerkerk aan den IJssel|51.9667|4.61667
Scharendijke|51.7333|3.85
Schouwerzijl|53.3333|6.45
Tollebeek|52.6833|5.68333
Usquert|53.4333|6.55
Avaldsnes|59.35|5.26667
Brandsfjord|64.1833|10.35
Flat�y|60.5333|5.25
God�ya|62.4667|6.01667
H�gset|67.1333|15.0167
Kollsnes|60.5667|4.81667
Lenangs�yra|69.8167|19.9833
Luster|61.4333|7.45
R�rvik|64.85|11.2333
Sarpsborg|59.2667|11.1
Snefjord|70.8|24.5667
Stadlandet|62.1333|5.31667
Svelvik|59.6|10.4
Torangsv�g|60.1167|5.16667
Ulstein|62.3667|5.81667
Vannavalen|70.1167|19.9667
Otematata|-44.6167|170.267
Marcona|-15.3667|-75.1667
Bora Bora|-16.45|-151.75
Raivavae|-23.8833|-147.667
Caution Bay|-9.33333|146.933
Cagdianao|9.91667|125.667
Larena|9.25|123.583
Lugait|8.33333|124.25
Kiamari|24.8167|66.9667
Miedzyzdroje|53.9333|14.45
Osin�w Dolny|52.85|14.15
Wolin|53.85|14.6167
Nariz|40.5333|-8.6
BGN/PCGN1956 - HAMAD|25|51.6167
Sainte-Suzanne|-20.9|55.6
