destination|lat|long
Straffordville|42.7333|-80.7667
Sutton|44.3|-79.3667
Upper Musquodoboit|45.1333|-62.95
Vassar|49.1|-95.8333
Wakefield|45.65|-75.9333
Weston|43.7|-79.5
Williams Harbour|52.55|-55.7833
Adelboden|46.4833|7.56667
Appenzell|47.3333|9.4
Ayent|46.2833|7.41667
Beckenried|46.9667|8.46667
Biel-Benken|47.5|7.51667
Boswil|47.2833|8.3
Br�ttisellen|47.4167|8.63333
B�ttikon|47.3333|8.26667
Chene-Bougeries|46.2|6.16667
Corcelles-Cormondr�che|46.9833|6.88333
Dietlikon|47.4333|8.61667
Eclagnens|46.65|6.58333
Entlebuch|46.9833|8.05
Forel|46.55|6.81667
Grancia|46.0333|8.76667
H�gendorf|47.3333|7.83333
Hinwil|47.2833|8.81667
Inwil|47.1167|8.33333
Kiesen|46.8167|7.56667
K�ssnacht am Rigi|47.0667|8.43333
Laupen|47.2667|8.91667
Les Brenets|47.0667|6.7
Lucens|46.7167|6.83333
Marsens|46.65|7.06667
Mettembert|47.4|7.31667
M�tiers|46.9167|6.6
Naters|46.3333|7.98333
Niederwangen|46.9167|7.36667
Oberruti|47.15|8.38333
Ottenbach|47.2833|8.4
Porto Ronco|46.1333|8.73333
Rekingen|47.5667|8.31667
Romanel-sur-Morges|46.55|6.5
Santa Maria|46.6|10.4167
Sch�nb�hl|47.0167|7.48333
Sennwald|47.2667|9.5
St Niklausen|46.8667|8.26667
Suhr|47.3667|8.08333
Th�rnen|47.45|7.83333
Uitikon|47.3667|8.45
Vernier|46.2167|6.08333
Vuiteboeuf|46.8|6.55
Weesen|47.1333|9.1
Witterswil|47.4833|7.51667
Zizers|46.9333|9.56667
Boundiali|9.51667|-6.48333
Ancoa|-35.9167|-71.4333
Campamento Barahona|-34.1|-70.5167
Cocham�|-41.5|-72.3167
Dalcahue|-42.3833|-73.6667
Horc�n|-32.7167|-71.5
La Reina|-33.45|-70.55
Lonquimay|-38.4333|-71.2333
Monte Patria|-30.6833|-70.9333
Paredones|-34.65|-71.9167
Paso R�o Don Guillermo/Torres del Paine|-51.25|-72.25
Pichidegua|-34.35|-71.3
Puerto Patache|-20.8|-70.2
R�nquil|-36.65|-72.55
San Ignacio|-36.8|-72.0333
Tierra Amarilla|-27.4833|-70.2833
Yungay|-37.1167|-72.0167
Massongo Terminal|4.21667|8.78333
Aojiang Pt|27.5833|120.45
Bayan Obo|41.7667|109.967
Bose|23.8833|106.6
Cicheng|29.9833|121.45
Dehua|25.3833|117.933
Dongjiaotou Pt|20.3333|110.417
Erlianhaote|43.6333|111.967
Futian|22.4833|114.233
Jiangle|26.2333|117.617
Kaishantun|42.6833|129.767
Laocheng|19.95|110.117
Lijiang|23.15|107.183
Midu|25.35|100.483
Nanling|30.9167|118.317
Qidong|31.8|121.65
Qisha Pt|21.5833|108.467
Rudong|21.6|111.433
Sanyuanli/Guangzhou|23.15|113.25
Shaoyang|27.2333|111.467
Shidao Pt|36.8667|122.433
Ulastai|42.8833|86.7
Wenshan|23.3667|104.25
Wuzhou|23.4833|111.333
Xianyou|25.3667|118.683
Zhangcha|39.6667|114.35
Arenal|8.46667|-73.95
Cajib�o|2.63333|-76.6333
El Recr�o|2.33333|-75.9333
Guaranda|8.46667|-75.5333
Leticia|-4.21667|-69.9333
Morichal|1.75|-69.9167
Plato|9.76667|-74.7667
Rionegro|6.15|-75.3833
San Mateo|8.9|-74.7167
Soacha|4.58333|-74.2167
Unguia|8.01667|-77.0833
Barbudal|10.2167|-85.1167
Carrillo|9.86667|-85.4833
Golfito|8.65|-83.15
Laurel|8.43333|-82.95
Palmichal|9.83333|-84.2
Punta Islita|9.85|-85.3667
San Pedro de Poas|10.0833|-84.25
Tapanti|9.76667|-83.7667
Boqueron|22.1667|-79.0167
Miramar|23.1167|-82.4167
Assomada|15.1|-23.6833
Sint Michielsbaai|12.15|-68.9833
Bartosovice|49.6667|18.05
Borovany|48.9167|14.6667
Brtnice|49.3167|15.6833
Cern� za Bory|50.0167|15.8333
Cestlice|49.9833|14.5667
Chroustovice|49.9667|16
Doln� Kaln�|50.5333|15.65
Drslavice|49.05|17.6
Haj u Duchcova|50.6167|13.7
Hnevot�n|49.5667|17.1833
Horni Pocaply|50.4167|14.3833
Hrob|50.6667|13.7167
Jedovnice|49.35|16.7667
Kadan|50.3833|13.2667
Klenovice na Hane|49.4|17.2167
Kostelec nad Cern�mi Lesy|50|14.8667
Kras�kov|49.85|16.7
Kunst�t|49.5167|16.5333
Libavsk� �dol�|50.1167|12.5667
Litovel|49.7|17.0667
Luzkovice|49.2167|17.75
Moravany|50|15.95
Nedakonice|49.0333|17.3833
Nov� Ves|49.15|15.8833
Odolena Voda|50.2333|14.3833
Osoblaha|50.2667|17.7167
Pencin|49.5667|17.0167
Predkl�steri|49.35|16.4
R�covice|49.0167|15.6833
Rokytnice v Orlickych Horach|50.1667|16.4667
Slapy|49.8167|14.4
Star� Role|50.2333|12.8167
Strasice|49.7333|13.7667
Telnice|50.7333|13.9667
Trhovy Stepanov|49.7|15.0167
Usov|49.8|17.0167
Velka Dobra|50.1|14.0667
Vichova nad Jizerou|50.6333|15.5
Vrchlab�|50.6167|15.6
Z�kolany|50.2|14.2333
Zdislavice|49.6833|14.9833
Zvoleneves|50.2333|14.1833
Achim|53.0333|9.01667
Aderstedt|51.7667|11.6833
Ahnsbeck|52.6167|10.3
Aiglsbach|48.7|11.7167
Aldenhoven|50.9|6.28333
Alleringersleben|52.2167|11.1333
Alt Bork|52.1833|12.8667
Altdorf|48.6333|12.1
Altenhain|51.2833|12.6833
Altentreptow|53.6833|13.25
Altl�dersdorf|53.0333|13.2
Ameln|50.9833|6.41667
Angelbachtal|49.2167|8.8
Apfeldorf|47.9|10.9333
Armsheim|49.8|8.05
Asbach-B�umenheim|48.6667|10.8167
Assmannshausen|50|7.86667
Auerstedt|51.1|11.5833
Authausen|51.6|12.6833
Bachfeld|50.4167|10.9833
Bad Karlshafen|51.6333|9.45
Bad Suderode|51.7333|11.1167
Badenheim|49.8333|7.96667
Baierfeld/Buchdorf|48.8|10.8333
Baltrum|53.7333|7.36667
Barenburg|52.6167|8.8
Barnin|53.6|11.7
Basdorf/Wandlitz|52.7167|13.4333
Bausendorf|50.0167|7
Beckdorf|53.4167|9.61667
Behlow|52|14.2833
Bekond|49.85|6.8
Benediktbeuern|47.7|11.4
Bereborn|50.2833|6.96667
Bergenhausen|50.0167|7.56667
Beringstedt|54.1167|9.53333
Berndorf|50.3|6.7
Berschweiler bei Kirn|49.7667|7.38333
Beyharting|47.9333|11.9833
Biebing/Frauenneuharting|47.9333|12.6
Billigheim|49.35|9.25
Birkenheide|49.4833|8.25
Bischofroda|51.05|10.3667
Blankenberg|50.4|11.7167
Blengow|54.1|11.65
Blumenow|53.1|13.25
B�ckel|51.2167|7.2
Bodman|47.8|8.96667
Boitin|53.7667|11.9833
Bollschweil|47.9167|7.78333
Boostedt|54.0167|10.0333
Borne bei Stassfurt|51.95|11.55
Bous|49.2833|6.8
Bramstedtlund|54.85|9.06667
Braunsberg|53.05|12.8333
Breesen|53.7167|11
Breitenhain|50.7667|11.7333
Brennberg|49.0667|12.4
Brieselang|52.6167|13
Brodenbach|50.2167|7.45
Bruchm�hle|52.55|13.7833
Br�nnberg|49.8167|11.4
Bucha|50.6333|11.5
Buchholz Dithm|53.9833|9.21667
Buggenhagen bei Wolgast|53.9167|13.8667
Bundorf|50.2167|10.5167
Burghammer|51.4667|14.3667
Buschhausen|50.9833|7.45
B�tzer|52.5333|12.3
Campow|53.75|10.7667
Christanz|49.8333|11.4167
Colnrade|52.8333|8.48333
Crinitz|51.7333|13.7667
Dadow|53.2333|11.4833
Daleiden|50.0667|6.16667
Danewitz/Biesenthal bei Bernau/Berlin|52.7333|13.6667
Deblinghausen|52.6|8.96667
Denklingen/Reichshof|50.9|7.65
Dittweiler|49.4333|7.5
Dorsten|51.6667|6.96667
Drestedt|53.3333|9.76667
D�rnau|48.6333|9.63333
Eberstadt|49.1667|9.31667
Edersleben|51.4167|11.2833
Eglhausen|48.4333|11.55
Eickhorst|52.35|10.5
Eitting|48.3667|11.8833
Emlichheim|52.6167|6.85
Ensch|49.8333|6.83333
Ergenzingen|48.4833|8.8
Erpolzheim|49.4833|8.21667
Esens|53.65|7.6
Etzdorf|51.05|13.1833
