destination|lat|long|cluster
Portballintrae|55.2167|-6.53333|120
Portscatho|50.1833|-4.98333|149
Preston|53.75|-2.71667|55
Rejerrah|50.35|-5.08333|149
Rock Ferry|53.3667|-3.0|55
Shetland|60.5333|-1.21667|140
South Uist and Eriskay|57.0667|-7.26667|28
Stuartfield|57.5|-2.05|98
Tayport|56.45|-2.88333|98
Tongue|58.4667|-4.41667|147
Upholland|53.5333|-2.71667|55
Walls Shetland|60.2167|-1.56667|140
Wembley|51.55|-0.283333|116
Willingham|52.3167|0.666667|150
Seqi Olivine Mine|64.9667|-51.5667|57
Boffa|10.1833|-14.0333|22
Petit-Bourg|16.1833|-61.5833|30
Agios Nikolaos Fokidas|38.3333|22.15|106
Altsi|35.1667|25.8833|125
Antikyra|38.3833|22.6333|106
Er�tria|38.4|23.8|106
Leros|37.1833|26.8|160
Molyvos|39.3667|26.15|17
Platygiali Etoloakarnanias|38.4667|21.1|106
Sikinos|36.7|25.1167|160
Thymaina Island|37.5833|26.45|160
L�vingston|15.8333|-88.75|112
Heard Island|-53.0833|73.7167|44
Klimno|45.15|14.6333|103
Rijeka|45.3333|14.4|103
Badacsony�rs|46.8|17.5333|67
Duna�jv�ros|46.9667|18.9333|67
Belitung|-2.83333|107.917|51
Kolaka|-4.05|121.567|69
Pagerungan|-6.91667|115.917|119
Sekupang|1.13333|103.933|117
Tual|-5.63333|132.733|42
Dublin-Dublin Ferryport Terminals|53.3167|-6.23333|148
Rathdrum|52.9167|-6.23333|148
Magshimim|32.0333|34.9|61
Dighi (Pune)|18.25|72.9667|8
Erode|11.35|77.7333|138
Greater Nodia|28.8167|77.8833|70
Hazira Port/Surat|21.0833|72.6167|157
Pipavav (Victor) Port|20.9667|71.55|157
Tuticorin|8.78333|78.1333|49
Mosul (Ak Mawsil)|36.1667|42.5833|24
Amir Abad Pt|36.0833|52.3667|91
Avola|36.9|15.1333|5
Bisceglie|41.2333|16.5|152
Bosa|40.3|8.5|114
Calasetta|39.05|8.36667|114
Camogli|44.35|9.15|115
Fiumicino|41.7667|12.2333|74
Gaeta|41.2|13.5833|74
Ladispoli|41.9333|12.0833|74
Lipari|38.45|14.95|5
Melito di Porto Salvo|37.9167|15.7833|5
Senigallia|43.7167|13.2167|103
Akitafunagawa|39.8833|139.95|12
Shimada|34.8333|138.183|121
Yawata/Kitakyushu|33.85|130.8|146
Yochon|36.65|128.45|47
Colombo|6.91667|79.85|49
Az Zawiyah|32.75|12.7167|174
Majuro|7.1|171.383|23
Agua Prieta|31.3|-109.567|83
Dolores Hidalgo|21.15|-100.917|141
Puerto Vallarta|20.6|-105.217|46
Ima|4.21667|7.38333|41
Belfeld|51.3167|6.11667|105
Dieverbrug|52.85|6.33333|15
Empel|51.7333|5.33333|170
Goudriaan|51.9|4.9|170
Hengstdijk|51.35|4.0|72
Holsloot|52.7167|6.8|15
Kreil|52.8|4.86667|170
Langeweg|51.65|4.66667|170
Nieuwerkerk aan den IJssel|51.9667|4.61667|170
Scharendijke|51.7333|3.85|72
Schouwerzijl|53.3333|6.45|15
