destination|lat|long
Greetsiel|53.5|7.1
Grieth|51.7833|6.31667
Grimberg|51.05|7.15
Grimmen|54.1167|13.05
Gr�de|54.6333|8.71667
Gronau|52.2167|7.03333
Groppenbruch|51.5667|7.36667
Gross Krotzenburg|50.0833|8.98333
Grosseichholzheim|49.45|9.28333
Grossenbrode|54.3833|11.0833
Grossensiel|53.4667|8.48333
Grosslehna|51.2833|12.15
Grosszerlang|53.1833|12.95
Gudderath|51.1167|6.43333
Gusen|52.35|11.9667
Gutenberg|49.8833|7.8
Hallig|54.5333|9.66667
Hamburg|53.5167|9.93333
Hamburg-Mitte|53.55|10.0167
Hameln|52.1|9.35
Hamm|51.6833|7.8
Hanau|50.1333|8.9
Handeloh|53.25|9.83333
Hannover|52.3667|9.71667
Harburg|53.4667|9.98333
Harlesiel|53.7|7.8
Haseldorf|53.6333|9.6
Hasloch|49.7833|9.48333
Hattenheim|50.0167|8.05
Hauneck|50.8167|9.73333
Hehlen|51.9833|9.46667
Heidelberg|49.4167|8.7
Heidesheim|50|8.13333
Heimersheim|49.7667|8.08333
Heinrichsberg|52.2667|11.7333
Helgoland|54.1667|7.88333
Helmlingen|48.7|7.96667
Hemmoor|53.7|9.11667
Hennigsdorf|52.6333|13.2167
Herbertingen|48.0667|9.43333
Herbrum|53.0333|7.31667
Hergatz|47.65|9.83333
Herne|51.55|7.21667
Herten|51.6|7.13333
Hesselte|52.4167|7.38333
Hiddingsel|51.8333|7.4
Hiltrup|51.9|7.63333
Hirzenhain|50.4|9.13333
Hitdorf|51.0667|6.93333
H�chst|50.1|8.55
Hochstadt|49.2333|8.2
Hohenhameln|52.2667|10.0667
Hohensaaten|52.8667|14.15
Hohenwarthe|52.2333|11.7167
Hohn|50.6167|7.98333
Hollenstedt|51.7333|9.95
Holzminden|51.8167|9.45
Homberg|51.45|6.68333
Hooge|54.5667|8.55
Hooksiel|53.6333|8.01667
Hoopte|53.4|10.1667
Hoppegarten|52.5167|13.6667
H�rselberg|50.9667|10.4167
Horumersiel|53.6833|8.01667
Hubertush�he|52.2333|13.9667
Hundsm�hlen|53.1|8.18333
H�nsborn|50.9333|7.88333
Huttingen|47.6667|7.53333
Igersheim|49.5|9.81667
Ihrlerstein|48.9333|115.333
Ingolstadt|48.7667|11.4333
Ispringen|48.9167|8.66667
Issum|51.5333|6.41667
Jemgum|53.2667|7.38333
Jettingen|48.3833|10.4167
J�ssen|52.4|9
Juist|53.6833|7
Kaimt|50.0167|7.16667
Kallstadt|49.4833|8.16667
Karnin|54.3|12.8
Karthaus|51.8667|7.3
Kenn|49.8|6.71667
Kesselstadt|50.1167|8.88333
Kettenheim|49.7167|8.1
Kiel|54.3333|10.1333
Kiel Canal|53.8833|9.13333
Kietz|52.5667|14.6167
Kinderbeuern|50|7.01667
Kipfenberg|48.95|11.3833
